Application ID,No Changes?,Dec Direct (AF),Dec Storage (AF),Comments
A000023,TRUE,0,0,
A000027,TRUE,0,0,"The projected demands reported herein are based on estimated diversions assuming water is available and the water right is not curtailed. Actual diversions under this right may differ for the projected time period and the submittal of this report does not obligate or limit the water right holder to a specified amount. The projected demands are preliminary and subject to change and may or may not be consistent with future curtailment reports for this same year, or annual water right reports submitted for WY 2023. "
A000138,TRUE,454,0,Typical demand for December.  No diversion to storage.
A000234,FALSE,0,40000,
A000244,TRUE,0,0,
A000301,TRUE,218.96,0,
A000476,FALSE,400,3000,"Our projected production is 400 acre-feet, if possible we use direct diversion first and then use our storage. Our current storage is approximately 3000 acre-feet below full, so that is the max projected diversion to storage. This is for point of diversion 40756(S022155). 

Point of diversion 40757 is to remain at 0 for both Demands."
A000480,TRUE,185,0,
A000575,TRUE,0,0,
A000576,TRUE,0,0,
A000577,TRUE,0,0,
A000581,TRUE,0,0,
A000640,TRUE,0,0,
A000654,TRUE,0,0,
A000742,TRUE,0,0,
A000763,TRUE,0,0,
A000829,TRUE,0,0,
A000878,TRUE,0,0,
A000879,TRUE,0,0,
A000880A,TRUE,0,0,
A000892,TRUE,0,0,
A001074B,TRUE,0,0,
A001081,FALSE,0,21225,"Consistent with prior monthly projections and past direction from the State Water Resources Control Board, the projections provided above assume unlimited hydrology."
A001150,TRUE,0,0,
A001160,TRUE,0,0,
A001195,TRUE,0,0,
A001199A,FALSE,0,0,Water right A001199A is only available for the period of April 1 through October 31. Diversions under this water right are zero during the months of November through March.
A001199B,TRUE,0,0,
A001221,FALSE,0,0,This water right is for direct diversion for non-consumptive purposes only.
A001224,FALSE,0,0,
A001232,FALSE,0,0,
A001233,FALSE,0,23000,
A001270,TRUE,0,0,"The data submitted above is provisional and based on the best information available at the time they are submitted. These values may be updated/revised in the future reports, including annual water right reports, based upon further review of the data.																					
"
A001339,TRUE,0,0,
A001341,FALSE,0,300,"The Delta Watershed Curtailment Status List (Updated 11/8/2022) shows that the status for this water right is NOT CURTAILED.

Water from this diversion will be retained in storage in December. Water from this diversion is stored in Huntington Lake. SCE's water plan for December predicts that storage in Huntington Lake will increase in the month of December.

For informational purposes SCE is providing the following text regarding water management in the Big Creek Hydroelectric Project. 

SCE holds 22 non-consumptive water rights that support the operation of the Big Creek Hydroelectric Project. In addition to complying with the terms of SCE’s water rights, SCE is contractually required to meet certain cumulative reservoir storage and release requirements pursuant to an agreement with the United States Bureau of Reclamation to support its operations at Friant. Depending on the time of year, SCE’s Water Plan will call for either the net storage or net release of the total, aggregate Project water – to support electricity generation and the water needs of USBR and those supplied by USBR. To provide the Water Board with the clearest picture of water availability and avoid duplicate reporting, SCE is reporting its future demand and projected releases as aggregate numbers for the entire Project utilizing SCE’s Water Plan for the Project. This plan is also used to coordinate with USBR on storage and release requirements and needs. This plan generates monthly forecasts of total reservoir storage and releases to the San Joaquin River by forecasting anticipated inflows to the Project, using reservoir storage on the first of each month, and estimating the planned Project outflows to determine the aggregate change in monthly storage and the volume of water release to the San Joaquin River from the Project. These aggregated values provide a more accurate representation of the total volume of water stored on the Project and water released to the San Joaquin River for other downstream water rights holders. Therefore, SCE is providing this aggregated projected demand water use for the entire Big Creek Project (based on the Water Plan described above). The Water Plan can be provided to Bay-Delta@waterboards.ca.gov site upon request.

In December 2022 reservoir storage in the Big Creek Hydroelectric Project (Project) is anticipated to decrease. Based on SCE’s Water Plan, which is developed and updated monthly by SCE’s water management team, forecasted inflows and outflows at the Big Creek Project will be approximately 20,000 acre-feet and 71,600 acre-feet, respectively. This will result in a forecasted aggregate decrease in reservoir storage of approximately 51,600 acre-feet in December. 
"
