Application ID,No Changes?,Mar Direct (AF),Mar Storage (AF),Comments
A000829,TRUE,0,0,
A001339,TRUE,0,0,
A001463,TRUE,0,0,
A001891,TRUE,0,0,
A001892,TRUE,0,0,
A002100,FALSE,0,0,"Water is diverted to storage in Salt Springs Reservoir and directly diverted from the North Fork Mokelumne River under appropriative water right A002100 for hydroelectric power generation at the Salt Springs 1, Tiger Creek, West Point, and Electra Powerhouses and to satisfy Lodi Decree flow requirements.  Storage in the reservoir increased significantly during January and it is being drawn back down in anticipation of snowmelt runoff in the spring."
A002186,TRUE,0,11707,
A002195,TRUE,0,0,
A002534,TRUE,0,0,
A002548,TRUE,0,0,
A002750,TRUE,0,0,
A002751,TRUE,0,0,
A002753,TRUE,0,0,
A002754,TRUE,0,0,
A002755,TRUE,0,149,
A002816,TRUE,0,0,
A002996,TRUE,0,0,
A003550,TRUE,0,7423,
A003889,TRUE,0,0,
A004000,TRUE,0,0,
A004441,TRUE,0,368,
A004491,TRUE,0,0,
A004598,TRUE,0,0,
A004871,TRUE,0,0,
A005161,TRUE,0,0,
A005240,TRUE,0,0,
A005970,TRUE,0,0,
A005997,TRUE,0,0,
A006032,FALSE,0,0,"Water is diverted to storage in Lower Bear Reservoir and directly diverted from Cole Creek (POD 17388) and the Bear River (POD 31880) under appropriative water right A006032 for hydroelectric power generation at Salt Springs 2, Tiger Creek, West Point, and Electra Powerhouses and to satisfy Lodi Decree flow requirements.  Storage in the reservoir increased significantly during January and it is being drawn back down in anticipation of snowmelt runoff in the spring."
A006129,TRUE,0,0,
A006130,TRUE,0,483,
A006241,TRUE,0,0,
A006262,TRUE,0,0,
A006332,TRUE,0,0,
A006737,TRUE,0,0,
A008794,FALSE,0,0,
A009800,TRUE,0,0,
A010122,TRUE,0,0,
A013995,TRUE,0,0,
A014743,TRUE,0,0,
A014785,TRUE,0,0,
A014928,TRUE,0,0,
A015407,TRUE,0,0,
A015717,TRUE,0,3056,
A015719,TRUE,0,0,
A025512,TRUE,0,0,
A025967,TRUE,0,0,
A026517,TRUE,0,0,
A026651,TRUE,0,10740,
A026736,TRUE,0,0,
A026739,TRUE,0,0,
A026780,TRUE,0,0,
A026781,TRUE,0,0,
A027570,TRUE,0,0,
A029797,TRUE,0,0,
A030257,TRUE,0,0,
A030258,TRUE,0,0,
A030415,TRUE,0,0,
A031405,TRUE,0,0,
A031499,TRUE,0,0,
A031518,TRUE,0,0,
S000888,TRUE,0,325,
S000892,TRUE,0,0,
S000922,TRUE,0,52761,
S000923,TRUE,0,9897,
S000944,FALSE,0,14000,Water is diverted to storage in Lake Spaulding from the South Yuba River under pre-1914 water claim S000944 for consumptive uses by Nevada Irrigation District and Placer County Water Agency as well as hydroelectric power generation at various NID and PG&E powerhouses.  The reservoir filled significantly during January and less additional water will be diverted to storage during March.
S000948,TRUE,0,316,
S000949,TRUE,0,448,
S000951,TRUE,0,335,
S000952,TRUE,0,2678,
S000954,TRUE,2301,0,
S000957,TRUE,0,0,
